车名,价格,里程,发布时间,转手次数,挡位,排量,驱动类型,环保标准,发动机,车型,燃油类型,颜色
捷豹XFL 2021款 XFL 2.0T P250 两驱尊享豪华版,"24.50, , ",3.3,2021年9月,0,自动,2,后驱,国VI,2,中大型车,95,白色
君威 2017款 20T 精英型,"7.88, , ",6.8,2018年3月,0,自动,1.5,前驱,国V,1.5,中型车,92,白色
Macan 2020款 Macan 2.0T,,3,2020年8月,0,自动,2,四驱,国VI,2,中型SUV,95,蓝色
揽胜运动版 2021款 3.0 L6 耀黑版,"64.80, , ",9.4,2021年1月,0,自动,3,四驱,国VI,3,中大型SUV,95,黑色
凯迪拉克CT4 2021款 28T 尊贵型,"14.98, , ",0.9,2021年3月,0,自动,2,后驱,国VI,2,中型车,95,黑色
蒙迪欧 2017款 EcoBoost 180 时尚型,"6.88, , ",4.7,2017年6月,0,自动,1.5,前驱,国V,1.5,中型车,92,白色
奥迪A3 2019款 Sportback 35 TFSI 进取型 国VI,"9.58, , ",5,2019年9月,1,自动,1.4,前驱,国VI,1.4,紧凑型车,95,红/紫色
开拓者 2023款 轻混 650T RS Twin-Clutch四驱 擎版,"22.98, , ",0.8,2024年2月,1,自动,2,四驱,国VI,2,中大型SUV,95,黑色
凌渡 2019款 230TSI DSG视野版 国V,"9.58, , ",3.5,2021年7月,0,自动,1.4,前驱,国V,1.4,紧凑型车,95,白色
宝马X3 2020款 xDrive25i M运动套装,"24.98, , ",5,2020年1月,0,自动,2,四驱,国VI,2,中型SUV,95,蓝色
星越L 2021款 2.0TD DCT EVO两驱尊贵型,"11.80, , ",0.5,2023年8月,0,自动,2,前驱,国VI,2,紧凑型SUV,95,白色
坦克300 2021款 越野版 2.0T 征服者,"16.88, , ",5,2021年8月,0,自动,2,四驱,国VI,2,紧凑型SUV,92,黄/橙色
凯迪拉克XT5 2022款 2.0T 两驱豪华型,"18.32, , ",2.8,2021年11月,0,自动,2,前驱,国VI,2,中型SUV,95,白色
宝马3系 2020款 改款 325Li M运动套装,"19.14, , ",3,2020年10月,0,自动,2,后驱,国VI,2,中型车,95,白色
奥迪A5 2021款 Coupe 40 TFSI 时尚动感型,"21.64, , ",3,2020年12月,0,自动,2,前驱,国VI,2,中型车,95,绿色
奥迪Q3 2020款 35 TFSI 时尚动感型,"16.98, , ",3.8,2021年7月,0,自动,1.4,前驱,国VI,1.4,紧凑型SUV,95,白色
奥迪Q5L 2022款 40T 时尚致雅型,"27.58, , ",2.1,2023年6月,0,自动,2,四驱,国VI,2,中型SUV,95,白色
凯迪拉克CT5 2020款 28T 铂金运动版,"16.00, , ",3.9,2019年12月,0,自动,2,后驱,国VI,2,中型车,95,蓝色
奥迪A4L 2011款 2.0 TFSI 舒适型,"5.10, , ",9,2011年11月,0,自动,2,前驱,国IV+OBD,2,中型车,95,白色
凯迪拉克ATS-L 2016款 25T 舒适型,"6.47, , ",7.8,2015年3月,0,自动,2,后驱,国IV(国V),2,中型车,95,白色
宝马8系 2019款 840i 四门轿跑车 M运动套装,"59.98, , ",5.8,2021年1月,0,自动,3,后驱,国VI,3,大型车,95,蓝色
奇骏 2021款 VC-Turbo 300 CVT 4WD尊享版,"14.58, , ",2.3,2021年12月,0,自动,1.5,四驱,国VI,1.5,紧凑型SUV,92,蓝色
宝马X3 2020款  xDrive28i M运动套装,"25.88, , ",3,2020年7月,0,自动,2,四驱,国VI,2,中型SUV,95,白色
Macan 2022款 Macan 2.0T,"48.99, , ",1.3,2022年8月,0,自动,2,四驱,国VI,2,中型SUV,95,白色
荣威i5 2023款 1.5L CVT尊荣版,"6.88, , ",0.1,2024年1月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,白色
奥迪Q5 2016款 40 TFSI 技术型,"12.26, , ",9.3,2016年1月,0,自动,2,四驱,国V,2,中型SUV,95,黑色
坦克500 2022款 3.0T 运动版 造境型 5座,"27.08, , ",0.5,2023年2月,0,自动,3,四驱,国VI,3,中大型SUV,95,银/灰色
普拉多 2018款 3.5L 自动TX-L后挂备胎,"43.98, , ",7.3,2019年11月,1,自动,3.5,四驱,国V,3.5,中大型SUV,95,白色
", 宝马1系 2021款 120i M运动曜夜版","13.18, , ",3.8,2021年2月,,", ",", ",,", ",,,,
瑞虎9 2023款 2.0T 双离合两驱尊贵版 5座,"14.50, , ",0.5,2023年7月,0,自动,2,前驱,国VI,2,中型SUV,95,白色
奥迪Q2L 2020款 35 TFSI 进取动感型,"10.98, , ",8,2020年6月,1,自动,1.4,前驱,国VI,1.4,小型SUV,95,蓝色
领克03 2019款 2.0TD 自动劲Pro版,"9.88, , ",7.5,2019年5月,0,自动,2,前驱,国VI,2,紧凑型车,95,黑色
", 红旗HS5 2019款 2.0T 智联旗享四驱版","12.48, , ",5,2019年6月,,", ",", ",,", ",,,,
艾瑞泽8 2022款 1.6T DCT雅,"8.86, , ",1.6,2023年3月,0,自动,1.6,前驱,国VI,1.6,紧凑型车,92,白色
蒙迪欧 2018款 EcoBoost 200 时尚型,"8.00, , ",5.7,2018年1月,0,自动,2,前驱,国V,2,中型车,92,白色
保时捷718 2020款 Boxster 2.0T,"42.80, , ",5,2020年12月,0,自动,2,中置后驱,国VI,2,跑车,95,白色
揽胜 2023款 3.0 L6 360PS 盛世版,"147.80, , ",1.7,2023年3月,0,自动,3,四驱,国VI,3,中大型SUV,95,黑色
奔驰GLC 2019款 GLC 260 4MATIC 动感型,"24.80, , ",5,2018年11月,0,自动,2,四驱,欧V,2,中型SUV,95,白色
宝马X5(进口) 2019款 xDrive40i M运动套装,"46.68, , ",5.6,2019年7月,0,自动,3,四驱,国VI,3,中大型SUV,95,白色
沃尔沃V40 2017款 T3 智雅版,"8.98, , ",7,2018年1月,0,自动,1.5,前驱,国V,1.5,紧凑型车,95,红/紫色
奥迪A3 2020款 改款 Limousine 35 TFSI 进取型 国VI,"12.18, , ",5.65,2020年7月,1,自动,1.4,前驱,国VI,1.4,紧凑型车,95,白色
奔驰A级 2020款 A 180 L 运动轿车,"14.50, , ",4.9,2020年3月,1,自动,1.3,前驱,国VI,1.3,紧凑型车,95,白色
捷豹XEL 2019款 2.0T 200PS 尊享版,"13.10, , ",3.6,2018年10月,0,自动,2,后驱,国V,2,中型车,95,蓝色
发现运动版 2020款 249PS R-Dynamic 性能版,"19.38, , ",8,2020年6月,0,自动,2,四驱,国VI,2,中型SUV,95,黑色
一汽-大众CC 2016款 1.8TSI 豪华型,"8.70, , ",11,2016年11月,0,自动,1.8,前驱,国V+OBD,1.8,中型车,95,白色
翼虎 2018款 改款 EcoBoost 245 四驱豪翼型,"8.30, , ",5,2018年7月,0,自动,2,四驱,国V,2,紧凑型SUV,92,白色
宝马1系 2020款 120i M运动套装,"9.88, , ",8.3,2020年3月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,95,红/紫色
SAVANA 2014款 6.0L 长轴领袖版,"20.80, , ",4.6,2017年11月,0,自动,6,后驱,国IV(国V),6,,95,白色
奔驰G级AMG 2022款 AMG G 63,"289.80, , ",1.3,2022年2月,0,自动,4,四驱,国VI,4,中大型SUV,95,蓝色
宝马3系 2019款 320Li 时尚型,"14.37, , ",4.3,2018年10月,0,自动,2,后驱,国VI,2,中型车,95,白色
Polo 2009款 劲取 1.4L 手动雅致版,"0.93, , ",11.4,2009年6月,0,手动,1.4,前驱,国IV+OBD,1.4,小型车,92,白色
奔驰E级 2021款 E 260 L 运动型,"32.68, , ",7,2021年4月,0,自动,1.5,后驱,国VI,1.5,中大型车,95,黑色
奥迪Q6 2023款 45 TFSI quattro 齐云型 飞骑套装,"40.38, , ",2.45,2022年11月,0,自动,2,四驱,国VI,2,中大型SUV,95,黑色
奔驰B级 2020款 B 200 动感型,"13.60, , ",5,2020年1月,0,自动,1.3,前驱,国VI,1.3,紧凑型车,95,白色
凯迪拉克CT5 2021款 28T 豪华型,"18.38, , ",2.7,2021年11月,0,自动,2,后驱,国VI,2,中型车,95,白色
朗逸 2019款 280TSI DSG舒适版 国VI,"9.18, , ",4.7,2021年3月,0,自动,1.4,前驱,国VI,1.4,紧凑型车,95,白色
兰德酷路泽 2012款 4.0L 自动VX,"41.80, , ",12,2014年10月,0,自动,4,四驱,国IV,4,中大型SUV,95,白色
", 欧蓝德 2021款 2.0L 两驱畅享版 5座","11.30, , ",1.8,2022年1月,,", ",", ",,", ",,,,
奔驰C级 2022款 C 260 L 运动版,"24.98, , ",5,2021年11月,1,自动,1.5,后驱,国VI,1.5,中型车,95,蓝色
奔驰E级 2021款 E 300 L 运动时尚型,"38.58, , ",5.3,2021年1月,0,自动,2,后驱,国VI,2,中大型车,95,黑色
雅阁 2022款 260TURBO 舒适版,"12.10, , ",1.8,2021年11月,0,自动,1.5,前驱,国VI,1.5,中型车,92,白色
奔驰C级 2019款 C 260 L 运动版,"17.40, , ",4.3,2018年12月,0,自动,1.5,后驱,国VI,1.5,中型车,95,白色
宝马X7 2023款 xDrive40i 领先型豪华套装,"86.58, , ",1.3,2023年7月,1,自动,3,四驱,国VI,3,大型SUV,95,银/灰色
", 奥迪A3 2020款 Sportback 35 TFSI 时尚型 国VI","11.45, , ",4.3,2020年4月,,", ",", ",,", ",,,,
福克斯 2018款 两厢经典 1.6L 自动舒适型智行版,"6.58, , ",1.9,2020年6月,0,自动,1.6,前驱,国V,1.6,紧凑型车,92,白色
", 宝马3系 2020款 改款 325Li M运动套装","21.68, , ",3.95,2020年7月,,", ",", ",,", ",,,,
豪越 2020款 1.8TD DCT旗舰型 7座,"9.20, , ",2.3,2022年10月,0,自动,1.8,前驱,国VI,1.8,中型SUV,92,黑色
博瑞 2018款 1.5T MHEV 耀享版,"5.38, , ",9,2018年9月,0,自动,1.5,前驱,国V,1.5,中型车,95,白色
荣威i5 2020款 1.5L 手动4G互联领豪旗舰版,"3.68, , ",7.8,2020年12月,0,手动,1.5,前驱,国VI,1.5,紧凑型车,92,白色
沃尔沃S90 2020款 T5 智逸豪华版,"17.80, , ",5.6,2019年3月,0,自动,2,前驱,国VI,2,中大型车,95,白色
奔驰GLA 2018款 GLA 200 时尚型,"13.48, , ",5,2018年9月,0,自动,1.6,前驱,国V,1.6,紧凑型SUV,95,白色
途观L 2022款 330TSI 自动两驱R-Line旗舰版,"17.59, , ",0.8,2022年9月,0,自动,2,前驱,国VI,2,中型SUV,95,银/灰色
伊兰特 2021款 240TGDi DCT GLX精英版,"6.97, , ",2.3,2021年9月,0,自动,1.4,前驱,国VI,1.4,紧凑型车,92,白色
奥迪A4L 2020款 40 TFSI 豪华动感型,"21.38, , ",4.7,2021年3月,0,自动,2,前驱,国VI,2,中型车,95,白色
迈腾 2020款 330TSI DSG 豪华型,"15.20, , ",7.3,2020年10月,0,自动,2,前驱,国VI,2,中型车,95,黑色
探界者 2019款 535T 自动驭界版 国V,"10.50, , ",6,2020年1月,0,自动,1.5,前驱,国V,1.5,中型SUV,92,白色
途昂 2020款 530 V6 四驱豪华版 国V,"27.98, , ",6.3,2021年10月,0,自动,2.5,四驱,国V,2.5,中大型SUV,95,黑色
帕萨特 2019款 280TSI 精英版 国VI,"11.38, , ",7.9,2020年7月,1,自动,1.4,前驱,国VI,1.4,中型车,95,黑色
凯迪拉克CT5 2021款 28T 豪华型,"19.88, , ",3,2021年9月,0,自动,2,后驱,国VI,2,中型车,95,蓝色
奔驰C级(进口) 2020款 C 260 轿跑车,"25.80, , ",3.3,2020年4月,0,自动,1.5,后驱,国VI,1.5,中型车,95,白色
揽胜 2023款 3.0 L6 400PS 盛世加长版,"162.80, , ",1.2,2022年6月,0,自动,3,四驱,国VI,3,中大型SUV,95,黑色
帕萨特 2020款 330TSI 豪华版 国VI,"14.86, , ",7,2020年8月,0,自动,2,前驱,国VI,2,中型车,95,黑色
发现神行 2018款 240PS SE版,"17.00, , ",6,2019年2月,0,自动,2,四驱,国V,2,中型SUV,95,白色
迈腾 2020款 280TSI DSG 舒适型,"12.68, , ",2.8,2021年3月,1,自动,1.4,前驱,国VI,1.4,中型车,95,黑色
凯迪拉克XTS 2018款 28T 技术型,"12.88, , ",5.7,2019年7月,0,自动,2,前驱,国V,2,中大型车,95,黑色
逸动 2022款 PLUS 蓝鲸NE 1.4T GDI DCT尊贵版,"5.28, , ",1.5,2022年9月,0,自动,1.4,前驱,国VI,1.4,紧凑型车,92,白色
凯迪拉克CT5 2022款 28T 豪华型,"18.65, , ",1,2023年3月,0,自动,2,后驱,国VI,2,中型车,95,黑色
途昂X 2019款 380TSI 四驱尊崇豪华版,"17.88, , ",3.62,2019年9月,0,自动,2,四驱,国VI,2,中大型SUV,95,黑色
宝马3系 2021款 325Li M运动套装,"20.98, , ",3.2,2021年6月,0,自动,2,后驱,国VI,2,中型车,95,白色
锐界 2016款 EcoBoost 245 两驱精锐型 5座,"8.80, , ",11.8,2016年2月,0,自动,2,前驱,国V,2,中型SUV,92,白色
探岳 2019款 330TSI 两驱豪华型 国VI,"12.88, , ",10,2020年1月,0,自动,2,前驱,国VI,2,中型SUV,95,白色
远景X3 2019款 升级版 1.5L 手动尊贵型,"3.48, , ",7.6,2020年4月,0,手动,1.5,前驱,国VI,1.5,小型SUV,92,白色
宝马5系 2021款 530Li 领先型 M运动套装,"34.38, , ",5.2,2021年4月,0,自动,2,后驱,国VI,2,中大型车,95,蓝色
宝马3系 2021款 325Li M运动套装,"22.68, , ",5.8,2021年10月,0,自动,2,后驱,国VI,2,中型车,95,白色
Cayenne 2013款 Cayenne Turbo S 4.8T,"38.58, , ",12,2014年10月,0,自动,4.8,四驱,欧IV,4.8,中大型SUV,95,黑色
Macan 2021款 Macan 2.0T,"40.80, , ",2,2020年12月,0,自动,2,四驱,国VI,2,中型SUV,95,白色
凯迪拉克XT4 2021款 28T 两驱领先型,"14.80, , ",5,2021年7月,0,自动,2,前驱,国VI,2,紧凑型SUV,95,白色
高尔夫 2019款 200TSI DSG舒适型 国V,"7.60, , ",11.9,2019年9月,0,自动,1.2,前驱,国V,1.2,紧凑型车,95,白色
奔驰GLC 2020款 GLC 260 L 4MATIC 豪华型,"31.68, , ",4,2020年1月,0,自动,2,四驱,国VI,2,中型SUV,95,银/灰色
奥迪A4L 2020款 40 TFSI 豪华动感型,"19.80, , ",7.7,2021年1月,1,自动,2,前驱,国VI,2,中型车,95,白色
奔驰E级 2021款 E 300 L 时尚型,"36.80, , ",5,2021年1月,0,自动,2,后驱,国VI,2,中大型车,95,黑色
捷豹F-PACE 2018款 2.0T 四驱R-Sport运动版,"16.67, , ",7.3,2017年11月,0,自动,2,四驱,国V,2,中型SUV,95,蓝色
逸动 2021款 PLUS 蓝鲸NE 1.4T GDI DCT尊贵型,"5.14, , ",2.3,2021年7月,0,自动,1.4,前驱,国VI,1.4,紧凑型车,92,白色
宝马3系 2020款 320i 运动套装,"21.10, , ",3.2,2022年2月,0,自动,2,后驱,国VI,2,中型车,95,白色
帝豪 2021款 UP 1.5L 手动舒适型,"4.30, , ",7.2,2021年8月,0,手动,1.5,前驱,国VI,1.5,紧凑型车,92,白色
探岳 2020款 330TSI 两驱豪华智联版,"12.68, , ",7.2,2020年7月,0,自动,2,前驱,国VI,2,中型SUV,95,黑色
", 发现运动版 2020款 249PS R-Dynamic 性能版","18.56, , ",7,2020年12月,,", ",", ",,", ",,,,
马自达3 昂克赛拉 2017款 三厢 1.5L 自动舒适型 国VI,"6.58, , ",4.4,2017年6月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,红/紫色
红旗H9 2020款 2.0T 智联旗畅版,"19.45, , ",3.8,2021年1月,0,自动,2,后驱,国VI,2,中大型车,95,黑色
瑞虎8 PLUS 2022款 鲲鹏版 390TGDI DCT豪情版+,"7.36, , ",3.5,2021年4月,0,自动,2,前驱,国VI,2,中型SUV,92,黑色
航海家(进口) 2020款 2.0T 四驱尊雅版,"19.80, , ",8.9,2021年1月,0,自动,2,四驱,国VI,2,中型SUV,92,黑色
奥迪Q2L 2021款 35 TFSI 进取动感型,"11.28, , ",4.3,2021年4月,1,自动,1.4,前驱,国VI,1.4,小型SUV,95,白色
宝马5系(进口) 2018款 525i M运动套装,"22.98, , ",8,2018年4月,0,自动,2,后驱,国V,2,中大型车,95,白色
", 奔驰C级 2020款 C 200 L 时尚型运动版","20.98, , ",6,2020年3月,,", ",", ",,", ",,,,
奔驰CLA AMG 2017款 改款 AMG CLA 45 4MATIC,"27.98, , ",5,2020年3月,0,自动,2,四驱,欧V,2,紧凑型车,95,白色
一汽-大众CC 2020款 330TSI 魅颜版 国VI,"14.59, , ",6,2020年1月,0,自动,2,前驱,国VI,2,中型车,95,白色
缤智 2022款 1.5L CVT幻夜・先锋版,"9.98, , ",2.5,2022年5月,0,自动,1.5,前驱,国VI,1.5,小型SUV,92,银/灰色
星越L 2021款 2.0TD DCT EVO两驱舒适型,"9.00, , ",2,2021年8月,0,自动,2,前驱,国VI,2,紧凑型SUV,95,银/灰色
别克GL8 2021款 陆上公务舱 652T 舒适型,"16.40, , ",5.5,2021年5月,0,自动,2,前驱,国VI,2,,95,白色
雅阁 2022款 260TURBO 舒享版,"12.29, , ",1.2,2022年8月,0,自动,1.5,前驱,国VI,1.5,中型车,92,白色
奔驰C级(进口) 2021款 C 260 轿跑车,"25.38, , ",1,2021年4月,0,自动,1.5,后驱,国VI,1.5,中型车,95,银/灰色
领克03 2021款 2.0TD 自动劲Pro,"10.48, , ",2.78,2021年1月,0,自动,2,前驱,国VI,2,紧凑型车,95,黑色
奥迪A5 2022款 Sportback 40 TFSI 时尚动感型,"27.80, , ",1.9,2021年11月,1,自动,2,前驱,国VI,2,中型车,95,白色
星越L 2023款 2.0TD 高功自动两驱旗舰型,"12.55, , ",1,2023年5月,0,自动,2,前驱,国VI,2,紧凑型SUV,95,黑色
Macan 2021款 Macan 2.0T,"43.80, , ",3.7,2021年3月,0,自动,2,四驱,国VI,2,中型SUV,95,白色
宝马5系 2022款 530Li 领先型 M运动套装,"35.38, , ",5.9,2022年1月,0,自动,2,后驱,国VI,2,中大型车,95,黑色
本田CR-V 2017款 240TURBO CVT两驱风尚版,"12.68, , ",7,2018年2月,0,自动,1.5,前驱,国V,1.5,紧凑型SUV,92,白色
迈腾 2018款 330TSI DSG 领先型,"10.38, , ",7.2,2018年1月,0,自动,1.8,前驱,国V,1.8,中型车,95,黑色
长安CS75 PLUS 2022款 第二代 1.5T 自动尊贵型,"8.10, , ",2.4,2022年2月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,白色
奥迪A4L 2018款 30周年年型 40 TFSI 时尚型,"16.38, , ",11,2018年5月,0,自动,2,前驱,国V,2,中型车,95,白色
迈腾 2021款 330TSI DSG 30周年纪念版,"15.80, , ",1.3,2021年5月,0,自动,2,前驱,国VI,2,中型车,95,黑色
Stelvio斯坦维 2017款 2.0T 200HP 豪华版,"14.68, , ",6,2019年2月,1,自动,2,四驱,国V,2,中型SUV,92,白色
宝马5系 2022款 530Li 尊享型 M运动套装,"38.98, , ",1.8,2023年2月,0,自动,2,后驱,国VI,2,中大型车,95,黑色
长安欧尚X7 2021款 1.5T 人脸识别全自动泊车太空逍遥版,"7.08, , ",2.3,2021年6月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,白色
宝沃BX7 2018款 28T 四驱旗舰型 5座 国VI,"6.15, , ",7,2019年11月,1,自动,2,四驱,国VI,2,中型SUV,95,香槟/棕色
卡罗拉 2021款 1.2T S-CVT 先锋版,"6.31, , ",3.3,2020年7月,0,自动,1.2,前驱,国VI,1.2,紧凑型车,92,白色
亚洲龙 2019款 2.0L 豪华版 国VI,"12.49, , ",3.68,2020年2月,0,自动,2,前驱,国VI,2,中型车,92,黑色
宝马3系 2020款 改款 325Li M运动套装,"18.98, , ",3.8,2020年6月,0,自动,2,后驱,国VI,2,中型车,95,黑色
帕萨特 2022款 280TSI 精英版,"11.21, , ",3.2,2021年4月,0,自动,1.4,前驱,国VI,1.4,中型车,95,黑色
蒙迪欧 2020款 EcoBoost 180 时尚型,"8.80, , ",4.2,2020年1月,0,自动,1.5,前驱,国VI,1.5,中型车,92,白色
豪越L 2023款 2.0T DCT旗舰型,"10.28, , ",0.11,2023年1月,0,自动,2,前驱,国VI,2,中型SUV,95,白色
兰德酷路泽(进口) 2015款 4.0L V6 中东限量版,"43.80, , ",11,2016年8月,0,自动,4,四驱,国IV,4,中大型SUV,95,白色
宝马5系 2020款 525Li 豪华套装,"25.50, , ",6,2020年3月,0,自动,2,后驱,国VI,2,中大型车,95,白色
哈弗大狗 2021款 2.0T DCT四驱中华田园犬版,"10.00, , ",3,2021年3月,0,自动,2,四驱,国VI,2,紧凑型SUV,92,白色
Macan 2014款 Macan S 3.0T,"22.88, , ",9.6,2015年9月,0,自动,3,四驱,欧V,3,中型SUV,95,香槟/棕色
标致408 2022款 1.6T 追光版,"9.18, , ",0.01,2024年1月,0,自动,1.6,前驱,国VI,1.6,紧凑型车,92,白色
雷克萨斯RX 2020款 300 两驱精英版 国VI,"31.38, , ",1.6,2022年7月,0,自动,2,前驱,国VI,2,中大型SUV,95,银/灰色
凯迪拉克XT4 2020款 28T 两驱领先型,"13.08, , ",3.18,2019年11月,0,自动,2,前驱,国VI,2,紧凑型SUV,95,黑色
", 北京BJ40 2021款 2.3T 自动四驱刀锋英雄版至尊型","11.88, , ",5.9,2021年5月,,", ",", ",,", ",,,,
宝马X3 2018款 xDrive28i M运动套装 国VI,"23.88, , ",5,2019年6月,0,自动,2,四驱,国VI,2,中型SUV,95,白色
伊兰特 2021款 1.5L CVT LUX尊贵版,"6.42, , ",2.9,2020年12月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,白色
荣威RX5 2023款 1.5T 豪华滑屏版,"10.10, , ",1.16,2023年5月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,其它
奔腾B70 2023款 第三代 1.5T 自动畅享型,"7.80, , ",1.5,2023年2月,0,自动,1.5,前驱,国VI,1.5,中型车,92,白色
荣威RX5 2023款 1.5T 尊荣滑屏版,"7.85, , ",2,2022年12月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,白色
奔驰E级 2020款 改款 E 300 L 运动时尚型,"32.88, , ",5.8,2020年5月,1,自动,2,后驱,国VI,2,中大型车,95,黑色
凌渡 2021款 280TSI DSG舒适版,"10.88, , ",3,2021年8月,0,自动,1.4,前驱,国VI,1.4,紧凑型车,95,白色
发现 2024款 360PS S,"58.80, , ",0.8,2023年11月,1,自动,3,四驱,国VI,3,中大型SUV,95,黑色
影豹 2021款 270T DCT J15版,"6.98, , ",2.6,2022年1月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,银/灰色
宝马X1 2018款 sDrive20Li 领先型,"12.68, , ",5.2,2018年3月,0,自动,2,前驱,国V,2,紧凑型SUV,95,蓝色
宝马2系 2021款 225i 四门轿跑车 M运动套装,"18.38, , ",1.7,2022年10月,0,自动,2,前驱,国VI,2,紧凑型车,95,蓝色
Macan 2016款 Macan S 3.0T,"24.86, , ",9.6,2015年12月,0,自动,3,四驱,欧V,3,中型SUV,95,香槟/棕色
迈腾 2019款 330TSI DSG 豪华型 国VI,"12.88, , ",7.8,2019年8月,1,自动,2,前驱,国VI,2,中型车,95,黑色
宝马1系 2021款 120i M运动版,"12.38, , ",2.9,2020年11月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,95,白色
奔驰C级(进口) 2020款 C 260 轿跑车,"22.18, , ",2.63,2019年10月,0,自动,1.5,后驱,国VI,1.5,中型车,95,白色
捷豹XEL 2020款 2.0T 200PS R-DYNAMIC 青春运动版,"17.98, , ",4.1,2021年4月,0,自动,2,后驱,国VI,2,中型车,95,蓝色
豪越 2022款 1.8TD DCT豪华型 7座,"8.80, , ",1.6,2022年5月,0,自动,1.8,前驱,国VI,1.8,中型SUV,92,银/灰色
", 坦克300 2021款 城市版 2.0T 很有型","18.38, , ",3.7,2022年4月,,", ",", ",,", ",,,,
坦克500 2022款 3.0T 运动版 造境型 5座,"29.00, , ",2,2022年10月,0,自动,3,四驱,国VI,3,中大型SUV,95,白色
传祺GS8 2022款 领航系列 2.0TGDI 两驱尊贵版（六座）,"15.98, , ",1,2021年10月,0,自动,2,前驱,国VI,2,中型SUV,95,绿色
途观L 2021款 330TSI 自动两驱R-Line越享版,"15.28, , ",1.86,2021年5月,0,自动,2,前驱,国VI,2,中型SUV,95,黑色
凯迪拉克CT4 2020款 28T 精英型,"14.98, , ",4.5,2020年8月,0,自动,2,后驱,国VI,2,中型车,95,白色
揽胜 2020款 3.0 L6 传世版,"97.60, , ",6,2020年12月,0,自动,3,四驱,国VI,3,中大型SUV,95,白色
凯迪拉克CT5 2022款 28T 豪华型,"16.64, , ",1.98,2021年11月,0,自动,2,后驱,国VI,2,中型车,95,黑色
途锐 2017款 3.0TSI 拓野型,"22.08, , ",6.5,2016年12月,0,自动,3,四驱,国V,3,中大型SUV,95,黑色
一汽-大众CC 2016款 1.8TSI 尊贵型,"7.88, , ",7.5,2016年3月,0,自动,1.8,前驱,国V+OBD,1.8,中型车,95,白色
奔驰GLB 2020款 改款 GLB 200 动感型,"19.30, , ",4,2020年7月,0,自动,1.3,前驱,国VI,1.3,紧凑型SUV,95,白色
", 本田UR-V 2020款 370TURBO 两驱尊雅版","18.58, , ",5.2,2020年11月,,", ",", ",,", ",,,,
捷途X70 2020款 1.5T DCT悦行版 5座,"5.18, , ",3,2020年8月,0,自动,1.5,前驱,国VI,1.5,中型SUV,92,白色
荣威RX5 MAX 2021款 Supreme系列 400TGI 自动豪华座舱版,"8.90, , ",2.4,2021年9月,0,自动,2,前驱,国VI,2,紧凑型SUV,92,白色
", 奔驰E级 2020款 E 260 L 运动型","27.30, , ",7,2020年1月,,", ",", ",,", ",,,,
桑塔纳 2015款 1.6L 手动舒适版,"2.40, , ",6.92,2014年9月,0,手动,1.6,前驱,国IV(国V),1.6,紧凑型车,92,黑色
迈锐宝XL 2021款 535T 自动锐动版,"9.69, , ",2.2,2021年10月,0,自动,1.5,前驱,国VI,1.5,中型车,92,白色
捷达VS5 2022款 280TSI 自动荣耀型,"6.98, , ",2.1,2022年4月,0,自动,1.4,前驱,国VI,1.4,紧凑型SUV,95,白色
传祺M8 2023款 宗师系列 400T 至尊版,"25.50, , ",2,2023年4月,0,自动,2,前驱,国VI,2,,95,黑色
埃尔法 2015款 3.5L 豪华版,"57.58, , ",11.5,2017年1月,0,自动,3.5,前驱,国V,3.5,,95,白色
凯迪拉克XT5 2021款 2.0T 两驱豪华型,"20.98, , ",3,2021年3月,0,自动,2,前驱,国VI,2,中型SUV,95,白色
宝马X3 2022款 改款 xDrive25i M运动套装,"29.80, , ",1,2023年1月,0,自动,2,四驱,国VI,2,中型SUV,95,白色
君威 2015款 1.6T 领先技术型,"4.60, , ",9.6,2015年12月,0,自动,1.6,前驱,国V,1.6,中型车,92,白色
途观L 2022款 380TSI 自动四驱R-Line旗舰版7座,"19.60, , ",1.2,2021年7月,0,自动,2,四驱,国VI,2,中型SUV,95,蓝色
哈弗F7 2019款 1.5T 两驱i型 国VI,"6.58, , ",4.4,2019年6月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,白色
", 发现运动版 2021款 249PS R-Dynamic S 性能版","16.38, , ",7.3,2021年11月,,", ",", ",,", ",,,,
埃尔法 2018款 改款 3.5L 尊贵版,"73.80, , ",9.6,2018年12月,0,自动,3.5,前驱,国V,3.5,,95,白色
思域 2021款 HATCHBACK 220TURBO CVT新锐控,"8.30, , ",2,2020年12月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,白色
北京X7 2020款 1.5TD DCT致领版,"6.90, , ",5.5,2020年10月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,银/灰色
